y,m,d,cate,country,city,event,link,cate_en,country_en,city_en,event_en
2019,9,20,学习经历,中国,广州,华南理工大学2019级建筑学院城乡规划专业本科生报道,,"Learning Journey","China","Guangzhou","Enrolled as an undergraduate in Urban and Rural Planning at the School of Architecture, South China University of Technology, Class of 2019"
2019,10,,学习经历,中国,广州,参加了建筑学院筑影社,,"Learning Journey","China","Guangzhou","Joined Zhuying Society at the School of Architecture."
2019,12,,学习经历,中国,广州,第一次设计课作业被推荐评优，没评上,,"Learning Journey","China","Guangzhou","My first design studio project was nominated for excellence, though it did not make the final list."
2020,4,11,生活足迹,中国,中山,把我从高中开始在Minecraft我的世界里建的城市剪成视频发到B站,,"Life Journey","China","Zhongshan","Edited a video of the city I had been building in Minecraft since high school and uploaded it to Bilibili."
2020,4,,学习经历,中国,广州,参加了建筑学院筑行志愿者服务队实践部,,"Learning Journey","China","Guangzhou","Joined the Practice Department of the Zhuxing Volunteer Service Team at the School of Architecture."
2020,10,,荣誉奖项,中国,广州,获得国家奖学金,,"Honors & Awards","China","Guangzhou","Received the National Scholarship."
2020,11,,荣誉奖项,中国,广州,在建筑学院的秋季学生田径运动会男子800m比赛获得第二名,,"Honors & Awards","China","Guangzhou","Won second place in the men's 800m at the School of Architecture's Fall Student Track and Field Meet."
2020,12,,学习经历,中国,广州,作为主创带领9人团队在Minecraft我的世界里还原了粤港澳大湾区·东盟国际高校营造大赛国际建造节的场景，获得我的世界官方宣传推广,https://www.bilibili.com/video/BV1SK411u76H/?spm_id_from=333.337.search-card.all.click,"Learning Journey","China","Guangzhou","Led a 9-person team as the chief creator to recreate the International Construction Festival of the Guangdong-Hong Kong-Macao Greater Bay Area-ASEAN International Collegiate Construction Competition in Minecraft, and the project was officially promoted by Minecraft."
2021,1,10,生活足迹,中国,长沙,和大学期间最好的10个朋友一起去长沙玩了3天,,"Life Journey","China","Changsha","Took a 3-day trip to Changsha with my 10 best friends from college."
2021,3,,学术研究,中国,广州,参与了华南理工大学百步梯攀峰计划，到古村调研古屋现状,,"Research","China","Guangzhou","Joined SCUT's Baibuti Climbing Program and surveyed the condition of historic houses in an ancient village."
2021,4,15,学习经历,中国,广州,第一次设计课作业被评上优秀作业，最后还获得了建筑学院的彭氏二等奖,,"Learning Journey","China","Guangzhou","My design studio project was recognized as an outstanding work for the first time and later won the Peng's Second Prize from the School of Architecture."
2021,4,20,学习经历,中国,黄山,全年级180多人一起到黄山写生两周,,"Learning Journey","China","Huangshan","Joined more than 180 classmates from my year for a two-week field sketching trip to Huangshan."
2021,5,,荣誉奖项,中国,广州,作为队长带着一年级的学弟学妹参加深大营造比赛，通宵做了第一个竹构模型,,"Honors & Awards","China","Guangzhou","As team captain, I led first-year students to the Shenzhen University construction competition and pulled an all-nighter building my first bamboo structure model."
2021,6,,荣誉奖项,中国,广州,和好队友合作的设计作品《旧城新衣——基于岭南湿热气候的广州老旧小区零碳改造探索》获2021台达杯国际太阳能建筑设计竞赛优秀奖,,"Honors & Awards","China","Guangzhou","Our design project 'New Clothes for the Old City: Exploring Zero-Carbon Renovation of Old Residential Communities in Guangzhou Under Lingnan's Hot-Humid Climate' received the Outstanding Award in the 2021 Delta Cup International Solar Building Design Competition."
